indicator,TN Loading,TP Loading,Nox Loading,TN Loading,TP Loading,Nox Loading,TN Loading,TP Loading,Nox Loading,TN Loading,TP Loading,Nox Loading,TN Loading,TP Loading,Nox Loading
units,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons,thousands of tons
extent,Mississippi-Atchafalaya River ,Mississippi-Atchafalaya River ,Mississippi-Atchafalaya River ,Mobile River,Mobile River,Mobile River,Apalachicola River,Apalachicola River,Apalachicola River,Brazos River,Brazos River,Brazos River,Rio Grande,Rio Grande,Rio Grande
1980,1678.818,156.528,878.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1981,1371.274,147.71,698.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1982,1877.234,143.3,1146.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1983,2435.003,174.165,1532.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1984,2095.491,125.663,1322.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1985,1955.498,88.956,983.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1986,1878.336,148.812,1102.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1987,1784.64,198.416,997.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1988,1143.095,149.914,622.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1989,1269.861,176.37,712.092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1990,1782.435,159.835,1124.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1991,2039.274,157.63,1234.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1992,1510.165,148.812,1003.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1993,2397.524,186.29,1796.765,18.5,3.06,9.67,19.2,0.998,10,NA,NA,NA,NA,NA,
1994,1585.122,145.505,1006.409,19.6,3.47,7.58,18.8,1.55,9.91,NA,NA,NA,0.175,NA,
1995,1433.003,137.789,943.577,20.7,3.59,7.51,18.9,1.17,11.9,NA,NA,NA,0.134,NA,
1996,1280.884,126.766,911.61,21.2,2.96,8.53,NA,NA,NA,NA,NA,NA,0.0796,NA,
1997,1642.442,169.756,1146.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0715,NA,
1998,1581.815,145.505,1146.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0763,NA,
1999,1728.422,176.37,1223.564,NA,3.59,8.87,NA,NA,NA,NA,NA,NA,0.0521,NA,
2000,892.871,104.168,594.145,8.99,2.08,4.3,NA,NA,NA,NA,NA,NA,0.0855,NA,
2001,1450.64,177.472,975.544,19.3,4.08,8.72,NA,NA,NA,NA,NA,NA,0.0552,NA,
2002,1392.218,182.983,888.462,20,4.45,8.41,NA,NA,NA,NA,NA,NA,0.151,NA,
2003,1146.402,149.914,731.934,31.4,6.28,11.4,NA,NA,NA,NA,NA,NA,NA,0.0907,
2004,1445.128,174.165,940.27,NA,3.78,7.86,NA,NA,NA,NA,NA,NA,2.65,0.454,
2005,1415.366,164.244,946.884,NA,5.89,9.75,NA,NA,NA,NA,NA,NA,0.937,0.148,
2006,918.224,80.579,664.693,NA,2.73,4.82,NA,NA,NA,NA,NA,NA,0.715,0.115,
2007,1466.072,192.904,974.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.929,0.172,
2008,1931.247,234.792,1333.795,NA,1.38,3.87,11,0.543,6.11,7.86,1.35,NA,0.704,0.0897,
2009,1530.006,166.449,1072.548,NA,NA,NA,19.3,1.13,10.3,3.19,1.01,NA,0.941,0.0998,
2010,1794.561,214.95,1234.587,NA,NA,NA,24.5,1.5,13.3,22,4.98,NA,1.65,0.262,
2011,1668.897,173.063,1201.518,NA,NA,NA,8.9,0.432,5.47,1.63,0.211,NA,1.73,0.242,
2012,959.01,125.663,629.419,NA,2.29,6.73,7.17,0.331,4.13,10,2.64,NA,0.437,0.063,
2013,1474.891,176.37,999.795,31.1,5.32,11.4,17.6,1.07,8.92,2.21,0.379,NA,0.286,0.0355,
2014,1261.043,178.574,806.891,23,3.78,8.71,21.6,1.22,12,7.95,2.23,NA,0.304,0.0366,
