indicator,Atlantic Multidecadal Oscillation,Atlantic Multidecadal Oscillation
units ,index,smoothed index
extent,Gulf-wide,Gulf-wide
Jan1950,0.116,0.020916667
Feb1950,-0.028,0.014083333
Mar1950,-0.1,0.009083333
Apr1950,-0.125,-0.007083333
May1950,-0.053,-0.009416667
Jun1950,-0.037,-0.011833333
Jul1950,-0.05,-0.0125
Aug1950,0.026,-0.009833333
Sep1950,0.015,1.73E-18
Oct1950,-0.085,0.024916667
Nov1950,0.085,0.044166667
Dec1950,0.094,0.071833333
Jan1951,0.108,0.111583333
Feb1951,0.004,0.135166667
Mar1951,0.018,0.155166667
Apr1951,0.174,0.184333333
May1951,0.178,0.19225
Jun1951,0.295,0.199416667
Jul1951,0.427,0.205166667
Aug1951,0.309,0.2205
Sep1951,0.255,0.238666667
Oct1951,0.265,0.240583333
Nov1951,0.18,0.24125
Dec1951,0.18,0.249
Jan1952,0.177,0.244916667
Feb1952,0.188,0.25325
Mar1952,0.236,0.262583333
Apr1952,0.197,0.2705
May1952,0.186,0.276833333
Jun1952,0.388,0.290666667
Jul1952,0.378,0.2985
Aug1952,0.409,0.29875
Sep1952,0.367,0.291333333
Oct1952,0.36,0.3015
Nov1952,0.256,0.315
Dec1952,0.346,0.306083333
Jan1953,0.271,0.303666667
Feb1953,0.191,0.291583333
Mar1953,0.147,0.284833333
Apr1953,0.319,0.267666667
May1953,0.348,0.267166667
Jun1953,0.281,0.260333333
Jul1953,0.349,0.257166667
Aug1953,0.264,0.249666667
Sep1953,0.286,0.24625
Oct1953,0.154,0.219
Nov1953,0.25,0.19625
Dec1953,0.264,0.181583333
Jan1954,0.233,0.14925
Feb1954,0.101,0.1265
Mar1954,0.106,0.10225
Apr1954,-0.008,0.08725
May1954,0.075,0.064666667
Jun1954,0.105,0.038833333
Jul1954,-0.039,0.02625
Aug1954,-0.009,0.021666667
Sep1954,-0.005,0.01675
Oct1954,-0.026,0.025833333
Nov1954,-0.021,0.03475
Dec1954,-0.046,0.042583333
Jan1955,0.082,0.068666667
Feb1955,0.046,0.084416667
Mar1955,0.047,0.10225
Apr1955,0.101,0.128166667
May1955,0.182,0.162583333
Jun1955,0.199,0.18825
Jul1955,0.274,0.197416667
Aug1955,0.18,0.201916667
Sep1955,0.209,0.199583333
Oct1955,0.285,0.196916667
Nov1955,0.392,0.177416667
Dec1955,0.262,0.139333333
Jan1956,0.192,0.1095
Feb1956,0.1,0.08675
Mar1956,0.019,0.062416667
Apr1956,0.069,0.035583333
May1956,-0.052,-0.003833333
Jun1956,-0.258,-0.023666667
Jul1956,-0.084,-0.045916667
Aug1956,-0.093,-0.062666667
Sep1956,-0.083,-0.065416667
Oct1956,-0.037,-0.076833333
Nov1956,-0.081,-0.082083333
Dec1956,0.024,-0.061166667
Jan1957,-0.075,-0.050333333
Feb1957,-0.101,-0.02525
Mar1957,-0.014,0.0005
Apr1957,-0.068,0.0165
May1957,-0.115,0.03075
Jun1957,-0.007,0.035833333
Jul1957,0.046,0.046583333
Aug1957,0.208,0.071166667
Sep1957,0.226,0.1015
Oct1957,0.155,0.1365
Nov1957,0.09,0.163333333
Dec1957,0.085,0.182833333
Jan1958,0.054,0.193166667
Feb1958,0.194,0.18975
Mar1958,0.35,0.189083333
Apr1958,0.352,0.18925
May1958,0.207,0.197666667
Jun1958,0.227,0.209333333
Jul1958,0.17,0.213666667
Aug1958,0.167,0.2075
Sep1958,0.218,0.1765
Oct1958,0.157,0.147333333
Nov1958,0.191,0.131166667
Dec1958,0.225,0.10775
Jan1959,0.106,0.091416667
Feb1959,0.12,0.079
Mar1959,-0.022,0.07175
Apr1959,0.002,0.0685
May1959,0.013,0.05725
Jun1959,-0.054,0.048083333
Jul1959,-0.026,0.054416667
Aug1959,0.018,0.062916667
Sep1959,0.131,0.072583333
Oct1959,0.118,0.080916667
Nov1959,0.056,0.1055
Dec1959,0.115,0.137
Jan1960,0.182,0.162166667
Feb1960,0.222,0.189083333
Mar1960,0.094,0.196166667
Apr1960,0.102,0.2115
May1960,0.308,0.228166667
Jun1960,0.324,0.2305
Jul1960,0.276,0.220833333
Aug1960,0.341,0.2095
Sep1960,0.216,0.2145
Oct1960,0.302,0.225333333
Nov1960,0.256,0.21625
Dec1960,0.143,0.192416667
Jan1961,0.066,0.168333333
Feb1961,0.086,0.143333333
Mar1961,0.154,0.126
Apr1961,0.232,0.103666667
May1961,0.199,0.088333333
Jun1961,0.038,0.094666667
Jul1961,-0.013,0.102
Aug1961,0.041,0.107916667
Sep1961,0.008,0.109333333
Oct1961,0.034,0.09775
Nov1961,0.072,0.0835
Dec1961,0.219,0.074833333
Jan1962,0.154,0.075666667
Feb1962,0.157,0.067416667
Mar1962,0.171,0.0675
Apr1962,0.093,0.070583333
May1962,0.028,0.068833333
Jun1962,-0.066,0.066833333
Jul1962,-0.003,0.0675
Aug1962,-0.058,0.068666667
Sep1962,0.009,0.066
Oct1962,0.071,0.067333333
Nov1962,0.051,0.058333333
Dec1962,0.195,0.060333333
Jan1963,0.162,0.058
Feb1963,0.171,0.057166667
Mar1963,0.139,0.04
Apr1963,0.109,0.028583333
May1963,-0.08,0.02
Jun1963,-0.042,-0.000833333
Jul1963,-0.031,-0.020166667
Aug1963,-0.068,-0.03225
Sep1963,-0.197,-0.040166667
Oct1963,-0.066,-0.061
Nov1963,-0.052,-0.0505
Dec1963,-0.055,-0.04625
