indicator,Sea surface temperature ,Sea surface temperature ,Sea surface temperature 
units ,standardized monthly anomaly,standardized monthly anomaly,standardized monthly anomaly
extent,western subregion,central subregion,eastern subregion
Jan1982,-0.068646841,-0.558905734,0.571147743
Feb1982,0.062882159,-0.646228177,0.464518893
Mar1982,0.416122435,-0.54017475,0.564305641
Apr1982,0.792307463,-0.413381329,0.687092404
May1982,1.021617043,-0.290344578,0.483950419
Jun1982,1.003426953,-0.219802152,0.338975363
Jul1982,0.898642607,-0.226149763,0.341692638
Aug1982,0.769257497,-0.114277699,0.310283016
Sep1982,0.477086141,-0.165456329,0.538049556
Oct1982,0.027286753,-0.163880281,0.57999369
Nov1982,-0.385072615,-0.293479224,0.676136593
Dec1982,-0.559741958,-0.479581945,0.422733791
Jan1983,-0.812104462,-0.766428218,0.016358174
Feb1983,-1.039184767,-1.070054247,-0.200928594
Mar1983,-1.307318382,-1.326157597,-0.576494807
Apr1983,-1.315019764,-1.270455025,-0.844824001
May1983,-1.251194884,-1.034979888,-1.032419284
Jun1983,-1.330153253,-1.090850543,-1.043234739
Jul1983,-1.17073361,-0.928425809,-0.856536058
Aug1983,-1.052435459,-0.617577598,-0.607343881
Sep1983,-1.038664535,-0.309560681,-0.517838927
Oct1983,-1.318614894,-0.288978465,-0.716051535
Nov1983,-1.375784227,-0.613277004,-0.752871577
Dec1983,-1.44160609,-0.517028524,-0.851389232
Jan1984,-1.502353432,-0.42179761,-0.953492957
Feb1984,-1.585752879,-0.495434543,-1.004642733
Mar1984,-1.647071741,-0.838597336,-1.182156439
Apr1984,-1.32499342,-0.909273662,-1.18385561
May1984,-1.370132777,-0.777933816,-1.385743533
Jun1984,-1.288479957,-0.89463035,-1.308818826
Jul1984,-1.253489284,-0.999401237,-1.185674953
Aug1984,-1.126938249,-0.901855706,-1.117205098
Sep1984,-0.958190388,-0.862138561,-0.810804422
Oct1984,-1.014793419,-0.890278652,-0.546019447
Nov1984,-0.933764482,-1.079429941,-0.290784419
Dec1984,-0.580791973,-0.856282508,0.043668863
Jan1985,-0.392855841,-0.686818887,0.156677737
Feb1985,-0.160532852,-0.534270131,0.174150538
Mar1985,-0.161209669,-0.493755176,0.112711774
Apr1985,-0.378531855,-0.826619785,-0.019485241
May1985,-0.41377521,-0.694915843,-0.12923476
Jun1985,-0.664796834,-0.627638686,-0.664369601
Jul1985,-0.780248617,-0.620042487,-0.677020795
Aug1985,-1.016820274,-0.770683439,-0.629344371
Sep1985,-1.027513237,-0.347110076,-0.600247321
Oct1985,-0.672455105,0.396604191,-0.507173813
Nov1985,-0.452579989,0.778025034,-0.413147052
Dec1985,-0.317505537,0.93199162,-0.172190075
Jan1986,-0.279418141,1.043141037,-0.283818055
Feb1986,-0.240585066,1.07661897,-0.447378921
Mar1986,-0.18127909,0.744024995,-0.304767972
Apr1986,-0.361716056,0.257824169,-0.117871937
May1986,-0.508034368,-0.217007942,-0.059157705
Jun1986,-0.579140641,-0.600343956,0.121695051
Jul1986,-0.40983387,-0.647228941,0.374727672
Aug1986,-0.204234477,-0.580391491,0.610563952
Sep1986,-0.064017636,-0.342134577,0.585392302
Oct1986,-0.00050795,-0.170996916,0.471098284
Nov1986,-0.02748073,0.004953938,0.417747381
Dec1986,-0.073558331,0.099228299,0.297901114
Jan1987,-0.340944704,-0.150338959,-0.026041846
Feb1987,-0.448434339,-0.275303565,-0.13386466
Mar1987,-0.753891943,-0.584332167,-0.312561192
Apr1987,-0.81628003,-0.629337988,-0.203686817
May1987,-0.695325224,-0.635294296,-0.073512348
Jun1987,-0.646772491,-0.588807463,-0.019100214
Jul1987,-0.783856547,-0.543839138,-0.354810742
Aug1987,-1.157875987,-0.704318629,-0.849274488
Sep1987,-1.072720082,-0.66696078,-0.903567991
Oct1987,-1.096895865,-0.796105298,-1.136004768
Nov1987,-1.254822588,-0.87435878,-1.465373324
Dec1987,-1.326726554,-0.990889627,-1.701583259
Jan1988,-1.119826039,-0.991327917,-1.366830753
Feb1988,-0.998572441,-0.903983241,-1.197825741
Mar1988,-1.282118464,-1.058910498,-1.419387909
Apr1988,-1.394565411,-1.039703751,-1.632284715
May1988,-1.332312326,-1.049408134,-1.541155129
Jun1988,-1.440296919,-1.180531204,-1.460257695
Jul1988,-1.462714859,-1.174803334,-1.468190096
