indicator,Human population,Human population,Human population,Human population,Human population,Human population,Human population
units ,millions of people,millions of people,millions of people,millions of people,millions of people,millions of people,millions of people
extent,Gulf wide,Texas,Louisiana,Mississippi,Alabama,Georgia,Florida
1950,21.975,7.776,2.697,2.176,3.058,3.458,2.81
1951,22.613,8.111,2.769,2.163,3.059,3.531,2.98
1952,23.117,8.314,2.842,2.152,3.068,3.584,3.157
1953,23.228,8.336,2.866,2.105,3.053,3.558,3.31
1954,23.45,8.382,2.883,2.064,3.014,3.602,3.505
1955,24.099,8.66,2.946,2.06,3.05,3.636,3.747
1956,24.767,8.83,3.032,2.086,3.071,3.701,4.047
1957,25.52,9.07,3.115,2.088,3.109,3.766,4.372
1958,26.09,9.252,3.155,2.086,3.163,3.804,4.63
1959,26.631,9.405,3.208,2.138,3.204,3.868,4.808
1960,27.3,9.624,3.26,2.182,3.274,3.956,5.004
1961,27.887,9.82,3.287,2.206,3.316,4.015,5.243
1962,28.508,10.053,3.345,2.243,3.323,4.086,5.458
1963,28.938,10.159,3.377,2.244,3.358,4.172,5.628
1964,29.391,10.27,3.446,2.241,3.395,4.258,5.781
1965,29.849,10.378,3.496,2.246,3.443,4.332,5.954
1966,30.234,10.492,3.55,2.245,3.464,4.379,6.104
1967,30.516,10.599,3.581,2.228,3.458,4.408,6.242
1968,31.002,10.819,3.603,2.219,3.446,4.482,6.433
1969,31.516,11.045,3.619,2.22,3.44,4.551,6.641
1970,31.883988,11.198655,3.644637,2.216994,3.444354,4.58793,6.791418
1971,32.852697,11.509848,3.710487,2.265432,3.497076,4.71155,7.158304
1972,33.688264,11.759148,3.761646,2.307117,3.5394,4.80949,7.511463
1973,34.561314,12.019543,3.788375,2.349546,3.57978,4.910374,7.913696
1974,35.391686,12.268629,3.820109,2.378268,3.626499,4.999419,8.298762
1975,36.115707,12.568843,3.886104,2.399449,3.678814,5.064075,8.518422
1976,36.81978,12.904089,3.950605,2.429756,3.735139,5.132812,8.667379
1977,37.522993,13.19305,4.014459,2.459201,3.780403,5.219697,8.856183
1978,38.286443,13.500429,4.068579,2.487816,3.831836,5.295751,9.102032
1979,39.226896,13.888371,4.137665,2.507069,3.866248,5.401384,9.426159
1980,40.313028,14.338208,4.223101,2.525342,3.900368,5.486174,9.839835
1981,41.248307,14.746318,4.283303,2.539036,3.918531,5.568345,10.192774
1982,42.287265,15.331415,4.352608,2.556777,3.925266,5.649792,10.471407
1983,43.126912,15.751676,4.395316,2.567717,3.934102,5.72825,10.749851
1984,43.812313,16.007086,4.400477,2.578051,3.95182,5.834954,11.039925
1985,44.555256,16.272734,4.408118,2.588102,3.972523,5.962661,11.351118
1986,45.305369,16.561113,4.406919,2.593597,3.991569,6.084666,11.667505
1987,45.775498,16.621791,4.344148,2.588545,4.015264,6.208467,11.997283
1988,46.182618,16.667022,4.288863,2.580352,4.023844,6.316142,12.306395
1989,46.712934,16.806735,4.252894,2.574269,4.030222,6.411099,12.637715
1990,47.414723,17.044714,4.219179,2.577426,4.048508,6.506531,13.018365
1991,48.173885,17.339904,4.24095,2.59123,4.091025,6.621279,13.289497
1992,48.935039,17.650479,4.270849,2.610193,4.139269,6.759474,13.504775
1993,49.717886,17.996764,4.284749,2.635574,4.193114,6.894092,13.713593
1994,50.548932,18.338319,4.3065,2.66345,4.232965,7.0459,13.961798
1995,51.335144,18.679706,4.327978,2.690788,4.262731,7.188538,14.185403
1996,52.104467,19.00624,4.338763,2.709925,4.290403,7.332225,14.426911
1997,52.928368,19.355427,4.35139,2.731826,4.320281,7.486094,14.68335
1998,53.722271,19.712389,4.362758,2.751335,4.351037,7.636522,14.90823
1999,54.454141,20.044141,4.372035,2.768619,4.369862,7.78824,15.111244
2000,56.991728,20.944499,4.471885,2.848353,4.452173,8.227303,16.047515
2001,57.852129,21.319622,4.477875,2.852994,4.467634,8.377038,16.356966
2002,58.723988,21.690325,4.497267,2.858681,4.480089,8.508256,16.68937
2003,59.550654,22.030931,4.521042,2.868312,4.503491,8.622793,17.004085
2004,60.55057,22.394023,4.552238,2.88901,4.530729,8.769252,17.415318
2005,61.598459,22.778123,4.576628,2.905943,4.569805,8.925922,17.842038
2006,62.519007,23.35958,4.302665,2.904978,4.628981,9.155813,18.16699
2007,63.526584,23.831983,4.375581,2.92835,4.67284,9.349988,18.367842
2008,64.442785,24.309039,4.435586,2.947806,4.718206,9.504843,18.527305
2009,65.283611,24.801761,4.491648,2.958774,4.757938,9.620846,18.652644
2010,66.107739,25.24431,4.544996,2.970322,4.785492,9.713521,18.849098
2011,66.908435,25.646389,4.575404,2.978162,4.799918,9.81161,19.096952
2012,67.734813,26.071655,4.603429,2.984945,4.81596,9.914668,19.344156
2013,68.486848,26.473525,4.626402,2.990482,4.829479,9.984938,19.582022
2014,69.404217,26.944751,4.64788,2.9924,4.843214,10.087231,19.888741
2015,70.386176,27.429639,4.66896,2.98939,4.853875,10.199398,20.244914
2016,71.319098,27.862596,4.681666,2.988726,4.8633,10.310371,20.612439
