indicator,Mean trophic level in catch,Mean trophic level in catch,Mean trophic level in catch,Mean trophic level in survey
units ,trophic level,trophic level,trophic level,trophic level
extent,all commercial finfish,all commercial finfish except menhaden,all commercial species except menhaden,SEAMAP summer
1962,2.27028988,3.243987352,2.377790359,
1963,2.277257821,3.247556806,2.301373909,
1964,2.27670581,3.180088098,2.301803351,
1965,2.277628509,3.28649189,2.322097258,
1966,2.302157086,3.371812389,2.363802088,
1967,2.320618065,3.376704,2.344364292,
1968,2.316330255,3.455889656,2.384991008,
1969,2.281567109,3.370685257,2.363196698,
1970,2.278565115,3.400025827,2.321266162,
1971,2.263989666,3.411953376,2.350651826,
1972,2.291279908,3.358737777,2.336020067,
1973,2.318826307,3.339681862,2.399233605,
1974,2.31070387,3.436298145,2.433139689,
1975,2.287203258,3.406709843,2.406995202,
1976,2.287901247,3.5449267,2.371130154,
1977,2.282511359,3.413002358,2.253038286,
1978,2.240308519,3.208446048,2.235684734,
1979,2.247862174,3.278120137,2.291619534,
1980,2.260021662,3.306791453,2.316701939,
1981,2.285594107,3.328093438,2.301177286,
1982,2.257161146,3.431382781,2.352763222,
1983,2.248863066,3.425424561,2.342827386,
1984,2.246604683,3.477711518,2.281939849,
1985,2.257180348,3.569512132,2.302765989,3.126
1986,2.278258628,3.524855272,2.348213427,2.92
1987,2.273517357,3.57029094,2.373165788,2.791
1988,2.312121948,3.613191877,2.431501007,3.072
1989,2.321598888,3.553284428,2.443396176,2.968
1990,2.307116099,3.473210962,2.361281614,3.064
1991,2.300826438,3.508199278,2.363765793,2.885
1992,2.342031639,3.549549814,2.406088867,2.955
1993,2.305701849,3.444768672,2.394256414,3.085
1994,2.271975662,3.446306524,2.375802772,3.06
1995,2.296039461,3.468692096,2.304879848,2.951
1996,2.286514404,3.544494351,2.288403346,2.976
1997,2.270721311,3.508230318,2.300612765,3.085
1998,2.281512579,3.504104862,2.249005908,3.048
1999,2.264346653,3.442499632,2.27648057,3.093
2000,2.269865097,3.468200785,2.231751065,3.006
2001,2.284169264,3.477402335,2.259263742,2.966
2002,2.272631946,3.556140377,2.279388794,3.077
2003,2.283680705,3.584529674,2.270697023,2.999
2004,2.290557173,3.549636306,2.263370074,2.824
2005,2.298579843,3.629392109,2.2806762,3.298
2006,2.280775319,3.519951894,2.212483352,3.076
2007,2.270546392,3.611288136,2.230402377,3.207
2008,2.273674432,3.520547254,2.256678048,3.138
2009,2.274568606,3.555920869,2.225273161,3.088
2010,2.278316612,3.541985206,2.248030408,3.077
2011,2.251769353,3.458144629,2.238581643,3.102
2012,2.270038559,3.562291661,2.25633669,3.071
2013,2.274697999,3.460809289,2.26052292,2.934
2014,2.285485988,3.465380561,2.245740531,3.114
2015,2.260454418,3.553321324,2.24180579,3.04
