indicator,Menhaden age 1+ biomass
units ,millions of metric tons
extent,Gulf wide
1977,1.11684
1978,1.67835
1979,1.65191
1980,1.11065
1981,1.60277
1982,1.98164
1983,1.69186
1984,1.60515
1985,2.10757
1986,1.74024
1987,1.43852
1988,1.0457
1989,1.04385
1990,1.2126
1991,1.03851
1992,0.97078
1993,1.64449
1994,1.94131
1995,1.66579
1996,1.75297
1997,2.08088
1998,1.90191
1999,2.36373
2000,2.36112
2001,1.99398
2002,1.83139
2003,1.54585
2004,1.83465
2005,1.85684
2006,2.21763
2007,3.01993
2008,3.1271
2009,2.10581
2010,2.14054
2011,3.37373
2012,4.3873
2013,3.8522
2014,3.03135
2015,5.29388
