indicator,Benthic seagrass cover,Benthic seagrass cover,Benthic seagrass cover,Benthic seagrass cover,Benthic seagrass cover,Benthic seagrass cover
units,thousands of acres,thousands of acres,thousands of acres,thousands of acres,thousands of acres,thousands of acres
extent,Florida Bay,Tampa Bay,Pensacola Bay,Mobile Bay,Mississippi Sound,Galveston Bay
1950,NA,40.401,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,1.457
1957,NA,NA,NA,5,NA,NA
1958,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA
1960,NA,NA,9.53,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,0.308
1966,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,12.977,NA
1970,256.608,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,0.321
1976,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA
1980,NA,NA,4.704,NA,NA,NA
1981,NA,NA,NA,2.763,NA,NA
1982,NA,21.653,NA,3.696,NA,NA
1983,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA
1987,410.27,NA,NA,NA,NA,0.338
1988,NA,23.284,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA
1990,NA,25.226,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA
1992,362.249,25.753,4.485,NA,1.483,NA
1993,NA,NA,NA,NA,NA,NA
1994,NA,26.519,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA
1996,NA,26.917,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,0.425
1999,NA,24.841,NA,NA,2.839,NA
2000,NA,NA,NA,NA,NA,NA
2001,NA,26.078,NA,NA,NA,NA
2002,NA,26.079,NA,5.593,NA,NA
2003,NA,NA,4.087,NA,NA,NA
2004,359.036,27.024,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA
2006,NA,28.299,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA
2008,NA,29.647,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA
2010,380.68,32.897,4.462,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA
2012,NA,34.642,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA
2014,NA,40.295,NA,NA,NA,NA
