indicator,Modeled change in pH, Modeled change in pH , Modeled change in pH 
units,standardized monthly anomaly,pH,monthly anomaly
extent, Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude, Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude, Gulf of Mexico deeper than 1000 ft and north of 25.768N latitude
Jan2006,1.328149798,8.103277,0.008292818
Feb2006,1.552839827,8.109043,0.010357
Mar2006,1.730815541,8.107204,0.011730455
Apr2006,1.727894418,8.093143,0.012313364
May2006,1.453814131,8.067394,0.011386182
Jun2006,1.601642219,8.045339,0.011033182
Jul2006,1.47787141,8.033858,0.009959364
Aug2006,1.394523658,8.02771,0.009333545
Sep2006,1.186415694,8.030365,0.007900636
Oct2006,1.355065531,8.051146,0.009195909
Nov2006,1.713806354,8.075895,0.011079545
Dec2006,1.696967385,8.093354,0.010960182
Jan2007,1.323345099,8.103247,0.008262818
Feb2007,1.23873348,8.106948,0.008262
Mar2007,0.960905436,8.101986,0.006512455
Apr2007,1.119156935,8.088805,0.007975364
May2007,0.934274764,8.063325,0.007317182
Jun2007,0.802068217,8.039831,0.005525182
Jul2007,0.808483468,8.029347,0.005448364
Aug2007,0.96482092,8.024834,0.006457545
Sep2007,1.140314392,8.030058,0.007593636
Oct2007,1.081574178,8.04929,0.007339909
Nov2007,0.62422628,8.068851,0.004035545
Dec2007,0.704196001,8.086942,0.004548182
Jan2008,0.77705084,8.099836,0.004851818
Feb2008,0.818925474,8.104148,0.005462
Mar2008,0.697678217,8.100202,0.004728455
Apr2008,0.37584609,8.083508,0.002678364
May2008,0.676228791,8.061304,0.005296182
Jun2008,0.827472256,8.040006,0.005700182
Jul2008,0.820354679,8.029427,0.005528364
Aug2008,0.798527753,8.023721,0.005344545
Sep2008,1.046459951,8.029433,0.006968636
Oct2008,1.199605737,8.050091,0.008140909
Nov2008,0.998556742,8.071271,0.006455545
Dec2008,0.956878923,8.088574,0.006180182
Jan2009,0.660456815,8.099108,0.004123818
Feb2009,0.488926395,8.101947,0.003261
Mar2009,0.76112424,8.100632,0.005158455
